Rank,CTR,%
1,0.211821291,0.211821291
2,0.1293878,0.1293878
3,0.092508127,0.092508127
4,0.065336736,0.065336736
5,0.038621884,0.038621884
6,0.026566027,0.026566027
7,0.024240875,0.024240875
8,0.020981221,0.020981221
9,0.019090194,0.019090194
10,0.017948141,0.017948141
11,0.020382473,0.020382473
12,0.018905915,0.018905915
13,0.018547305,0.018547305
14,0.020025874,0.020025874
15,0.018655574,0.018655574
16,0.01792733,0.01792733
17,0.021518462,0.021518462
18,0.021221616,0.021221616
19,0.020785438,0.020785438
20,0.019255349,0.019255349
21,0.018432416,0.018432416
22,0.017159899,0.017159899
23,0.014438867,0.014438867
24,0.015075577,0.015075577
25,0.01323043,0.01323043
26,0.012975713,0.012975713
27,0.012692495,0.012692495
28,0.012241151,0.012241151
29,0.012635795,0.012635795
30,0.012571968,0.012571968
31,0.011118365,0.011118365
32,0.011141418,0.011141418
33,0.011239871,0.011239871
34,0.010639265,0.010639265
35,0.010310783,0.010310783
36,0.009398309,0.009398309
37,0.009144167,0.009144167
38,0.008501167,0.008501167
39,0.009630372,0.009630372
40,0.009476193,0.009476193
41,0.008098152,0.008098152
42,0.007969676,0.007969676
43,0.008071481,0.008071481
44,0.007678777,0.007678777
45,0.006306079,0.006306079
46,0.006130438,0.006130438
47,0.007633884,0.007633884
48,0.007455538,0.007455538
49,0.006805036,0.006805036
50,0.008217974,0.008217974
51,0.007780299,0.007780299
52,0.007085873,0.007085873
53,0.006868348,0.006868348
54,0.007361647,0.007361647
55,0.005644934,0.005644934
56,0.006551587,0.006551587
57,0.005840559,0.005840559
58,0.006212708,0.006212708
59,0.006422081,0.006422081
60,0.005181705,0.005181705
61,0.004705231,0.004705231
62,0.008132883,0.008132883
63,0.004771135,0.004771135
64,0.005869797,0.005869797
65,0.005590321,0.005590321
66,0.004362621,0.004362621
67,0.005524353,0.005524353
68,0.004288778,0.004288778
69,0.004502251,0.004502251
70,0.004888756,0.004888756
71,0.005812041,0.005812041
72,0.006149641,0.006149641
73,0.005256542,0.005256542
74,0.005732484,0.005732484
75,0.004020231,0.004020231
76,0.005404675,0.005404675
77,0.006420994,0.006420994
78,0.003783784,0.003783784
79,0.003188406,0.003188406
80,0.00588857,0.00588857
81,0.004909984,0.004909984
82,0.006107361,0.006107361
83,0.003410641,0.003410641
84,0.005472892,0.005472892
85,0.005303584,0.005303584
86,0.003374179,0.003374179
87,0.003270489,0.003270489
88,0.004324749,0.004324749
89,0.004730564,0.004730564
90,0.002999539,0.002999539
91,0.007929316,0.007929316
92,0.005537975,0.005537975
93,0.007402639,0.007402639
94,0.005973716,0.005973716
95,0.007328448,0.007328448
96,0.010252029,0.010252029
97,0.010041077,0.010041077
98,0.019892884,0.019892884
99,0.025142857,0.025142857
100,0.036649215,0.036649215
101,0.037900875,0.037900875
102,0.12244898,0.12244898
103,0.1,0.1
104,0.099415205,0.099415205
105,0.111111111,0.111111111
106,0.033175355,0.033175355
107,0.1171875,0.1171875
108,0.065420561,0.065420561
109,0.154929577,0.154929577
110,0.089108911,0.089108911
111,0.056074766,0.056074766
112,0.092592593,0.092592593
113,0.072847682,0.072847682
114,0.020661157,0.020661157
115,0.052631579,0.052631579
116,0.066666667,0.066666667
117,0.037037037,0.037037037
118,0.106382979,0.106382979
119,0.058823529,0.058823529
120,0.021505376,0.021505376
121,0.054054054,0.054054054
122,0.065217391,0.065217391
123,0.086956522,0.086956522
124,0.108108108,0.108108108
125,0.04,0.04
126,0.054945055,0.054945055
127,0.068965517,0.068965517
128,0.043478261,0.043478261
129,0.125,0.125
130,0.105263158,0.105263158
131,0.090909091,0.090909091
132,0.078431373,0.078431373
133,0.172413793,0.172413793
134,0.15,0.15
135,0.157894737,0.157894737
136,0.044117647,0.044117647
137,0.035714286,0.035714286
138,0.060606061,0.060606061
139,0,0
140,0.060606061,0.060606061
141,0.032258065,0.032258065
142,0.028169014,0.028169014
143,0.028571429,0.028571429
144,0.046511628,0.046511628
145,0.025,0.025
146,0.047619048,0.047619048
147,0,0
148,0.032258065,0.032258065
149,0,0
150,0.033333333,0.033333333
151,0,0
152,0.026315789,0.026315789
153,0,0
154,0,0
155,0.041666667,0.041666667
156,0.083333333,0.083333333
157,0.020833333,0.020833333
158,0.12,0.12
159,0.023809524,0.023809524
160,0.068965517,0.068965517
161,0,0
162,0,0
163,0.022222222,0.022222222
164,0,0
165,0.1,0.1
166,0,0
167,0,0
168,0,0
169,0.054054054,0.054054054
170,0.0625,0.0625
171,0.037037037,0.037037037
172,0.033333333,0.033333333
173,0,0
174,0.016129032,0.016129032
175,0,0
176,0.02173913,0.02173913
177,0.032967033,0.032967033
178,0.142857143,0.142857143
179,0.022222222,0.022222222
180,1,1
181,0,0
182,0.083333333,0.083333333
183,0.032258065,0.032258065
184,0.047619048,0.047619048
185,0,0
186,0,0
187,0,0
188,0.1,0.1
189,0,0
190,0,0
191,0,0
192,0,0
193,0.052631579,0.052631579
194,0.076923077,0.076923077
195,0.083333333,0.083333333
196,0,0
197,0,0
198,0.0625,0.0625
199,0,0
201,0,0
202,1,1
204,0,0
207,0,0
208,0,0
210,1,1
211,1,1
214,0,0
216,0,0
220,0,0
221,1,1
223,0,0
224,0,0
225,0.1,0.1
226,0,0
227,0.037037037,0.037037037
228,0,0
233,1,1
238,0.111111111,0.111111111
239,0,0
240,0,0
241,0,0
242,0.1,0.1
246,0,0
247,0,0
291,0,0
292,0,0
294,0,0
296,0,0
299,0,0
301,0,0
305,0,0
306,0,0
308,0,0
313,0,0
